log_id,timestamp,service,severity,log_message,root_cause_label
LOG-0001,2024-05-28T21:04:00Z,fx-rate-fetcher,High,ERROR [payment-gateway] Upstream provider Twilio returned 502. Retried 1 times. Failing over.,RC-03
LOG-0002,2024-02-20T06:46:00Z,ml-inference,Critical,ERROR [file-processor] File descriptor limit reached (62256/15). New connections refused.,RC-07
LOG-0003,2024-09-06T10:22:00Z,api-gateway,High,WARN [api-gateway] 401 returned to client client_3536: bearer token missing from Authorization header.,RC-01
LOG-0004,2024-12-09T20:15:00Z,transaction-worker,Critical,ERROR [log-aggregator] Disk write failed: volume /data at 87% capacity. Dropping logs.,RC-07
LOG-0005,2024-05-25T19:04:00Z,data-pipeline,Medium,ERROR [transaction-validator] Constraint violation: currency_code 'null' not in allowed list.,RC-05
LOG-0006,2024-06-11T15:28:00Z,reporting-api,Medium,ERROR [webhook-dispatcher] Rate limit hit on endpoint /v2/events. Retry-After: 120s.,RC-04
LOG-0007,2024-11-11T21:19:00Z,data-export,High,CRITICAL [audit-service] Privilege escalation attempt blocked: user usr_68176 — insufficient role.,RC-06
LOG-0008,2024-03-19T18:36:00Z,iam-middleware,High,WARN [api-gateway] Scope mismatch: token has 'read' scope but endpoint requires 'write'.,RC-06
LOG-0009,2024-06-10T13:10:00Z,storage-service,High,CRITICAL [audit-service] Privilege escalation attempt blocked: user usr_37114 — insufficient role.,RC-06
LOG-0010,2024-06-09T07:50:00Z,data-pipeline,Medium,WARN [data-pipeline] Null value in required field 'merchant_id'. Row 4 skipped.,RC-05
LOG-0011,2024-12-30T23:41:00Z,kyc-service,Medium,ERROR [api-handler] Payload validation error: 'transaction_type' enum mismatch. Received: 'INVALID'.,RC-05
LOG-0012,2024-05-21T11:08:00Z,service-mesh,High,CRITICAL [vpc-gateway] Packet loss 97% detected on internal network segment. Alert triggered.,RC-08
LOG-0013,2024-09-02T14:28:00Z,transaction-validator,Medium,WARN [data-pipeline] Null value in required field 'merchant_id'. Row 5 skipped.,RC-05
LOG-0014,2024-06-05T15:35:00Z,ingestion-service,Medium,"ERROR [kyc-service] Date format error in field 'date_of_birth': expected YYYY-MM-DD, got 'N/A'.",RC-05
LOG-0015,2024-03-30T20:38:00Z,ingestion-service,Medium,"ERROR [kyc-service] Date format error in field 'date_of_birth': expected YYYY-MM-DD, got 'DEBIT_SPECIAL'.",RC-05
LOG-0016,2024-05-23T04:57:00Z,import-service,Medium,ERROR [transaction-validator] Constraint violation: currency_code 'DEBIT_SPECIAL' not in allowed list.,RC-05
LOG-0017,2024-04-10T08:46:00Z,db-pool,Critical,ERROR [db-pool] Max wait time exceeded (11266ms) waiting for idle connection. Active: 9/15.,RC-02
LOG-0018,2024-02-08T00:54:00Z,ml-inference,Critical,WARN [cache-service] Redis memory limit reached (2457MB). Evicting LRU keys.,RC-07
LOG-0019,2024-11-19T00:52:00Z,payments-core,Critical,ERROR [query-executor] Failed to acquire DB connection from pool: all 15 connections exhausted.,RC-02
LOG-0020,2024-10-23T12:49:00Z,data-export,High,WARN [api-gateway] Scope mismatch: token has 'read' scope but endpoint requires 'write'.,RC-06
LOG-0021,2024-04-18T01:35:00Z,transaction-validator,Medium,"ERROR [ingestion-service] Schema validation failed: field 'amount' expected float, got string. Record ID: rec_65194.",RC-05
LOG-0022,2024-10-05T17:30:00Z,kyc-service,High,CRITICAL [payout-service] Partner bank API Flutterwave returned unexpected 500. Transaction ID: txn_147549.,RC-03
LOG-0023,2024-07-06T12:14:00Z,ml-inference,Critical,WARN [cache-service] Redis memory limit reached (6617MB). Evicting LRU keys.,RC-07
LOG-0024,2024-05-28T04:29:00Z,batch-processor,Medium,WARN [api-gateway] Client client_9897 burst limit exceeded (5000 RPS). Returning 429.,RC-04
LOG-0025,2024-09-18T02:25:00Z,query-executor,Critical,WARN [reporting-svc] Slow query detected (15997ms). DB connection dropped mid-execution.,RC-02
LOG-0026,2024-09-14T00:42:00Z,dns-resolver,High,ERROR [grpc-client] Failed to connect to notification-svc:6379. TLS handshake timeout after 8419ms.,RC-08
LOG-0027,2024-11-10T21:10:00Z,ml-inference,Critical,CRITICAL [transaction-worker] OOM error — JVM heap exhausted. Allocated: 7088MB. Killing process.,RC-07
LOG-0028,2024-03-12T14:10:00Z,kyc-service,High,ERROR [fx-rate-fetcher] Rate feed from Jumio unavailable. Last successful pull: 2024-02-28T08:36:00Z.,RC-03
LOG-0029,2024-10-16T18:42:00Z,log-aggregator,Critical,WARN [cache-service] Redis memory limit reached (6059MB). Evicting LRU keys.,RC-07
LOG-0030,2024-09-04T11:02:00Z,data-pipeline,Medium,"ERROR [kyc-service] Date format error in field 'date_of_birth': expected YYYY-MM-DD, got 'DEBIT_SPECIAL'.",RC-05
LOG-0031,2024-09-06T07:04:00Z,cache-service,Critical,ERROR [file-processor] File descriptor limit reached (65384/15). New connections refused.,RC-07
LOG-0032,2024-07-08T07:02:00Z,kyc-service,High,CRITICAL [payout-service] Partner bank API Flutterwave returned unexpected 500. Transaction ID: txn_470774.,RC-03
LOG-0033,2024-09-22T11:24:00Z,reporting-svc,Critical,CRITICAL [order-service] Database unreachable: pg-replica-02. Socket timeout after 28351ms.,RC-02
LOG-0034,2024-08-20T01:02:00Z,query-executor,Critical,ERROR [db-pool] Max wait time exceeded (28059ms) waiting for idle connection. Active: 12/15.,RC-02
LOG-0035,2024-02-22T22:33:00Z,reporting-api,Medium,WARN [api-gateway] Client client_5067 burst limit exceeded (5000 RPS). Returning 429.,RC-04
LOG-0036,2024-05-14T18:34:00Z,data-export,High,ERROR [iam-middleware] IAM policy evaluation failed: missing 'payments:write' scope for client client_4908.,RC-06
LOG-0037,2024-03-30T12:41:00Z,kyc-service,Medium,"ERROR [ingestion-service] Schema validation failed: field 'amount' expected float, got string. Record ID: rec_61996.",RC-05
LOG-0038,2024-07-06T18:41:00Z,http-client,High,ERROR [grpc-client] Failed to connect to payment-core:3306. TLS handshake timeout after 11965ms.,RC-08
LOG-0039,2024-09-21T08:24:00Z,webhook-dispatcher,Medium,WARN [api-gateway] 429 Too Many Requests — client client_7338 exceeded 100 RPM limit. Throttling applied.,RC-04
LOG-0040,2024-09-21T12:22:00Z,transaction-validator,Medium,"ERROR [ingestion-service] Schema validation failed: field 'amount' expected float, got string. Record ID: rec_82970.",RC-05
LOG-0041,2024-09-06T15:56:00Z,oauth-handler,High,WARN [api-gateway] 401 Unauthorized — invalid API key provided by client client_8478. Key prefix: p6qf5q14...,RC-01
LOG-0042,2024-01-04T16:56:00Z,kyc-service,High,WARN [data-enrichment] Third-party enrichment API AWS-SNS slow response: 15481ms (SLA: 2000ms).,RC-03
LOG-0043,2024-08-13T05:14:00Z,http-client,High,ERROR [grpc-client] Failed to connect to auth-service:3306. TLS handshake timeout after 24449ms.,RC-08
